;Address (CodedVal (Symbol
; Heater function configuration
0         9E        CHECKSUM
1         32        T_GP_LFS_DURATION
2         0A        CNF_BSPAI_A_KL30_SEN_T1_1
3         14        CNF_BSPAI_A_CTS_T1
4         0A        CNF_BSPAI_A_KL30_SEN_T1_2
5         00        CONFIG_PARAMETERS
6         96        U_GP_LFS_VOLT
7         50        T_GP_LFS_MIN_PULSE_DURATION
8         06        T_MOTOR_CHECK_1
9         0A        T_MOTOR_CHECK_2
A         2D        U_MOTOR_CHECK_1
B         5A        U_MOTOR_CHECK_2
C         1E        N_SANITY_LO
D         59        PERCENT_GP_MODE_CHANGE
E         64        CCTC_PI_PARA_KP
F         14        CCTC_PI_PARA_TN
10        01        CCTC_PI_PARA_TA
11        27        CCTC_POWER_THRESHOLD_BO
12        1C        CCTC_MIN_POWER
13        32        CCTC_MAX_POWER
14        64        T_GP_LFS_PERIOD
15        64        PERCENT_ETHANOL
16        9F        FACTOR_ETHANOL
17        80        FACTOR_F_DP_DEVELOP
18        3C        T_HEATING_DEFAULT
19        42        T_HEATING_MAX
1A        50        CCTC_MAX_POWER_GRAD_FALLING_CAF
1B        50        CCTC_MAX_POWER_GRAD_RISING_CAF
1C        7D        CCTC_MAX_POWER_GRAD_FALLING_DP
1D        50        CCTC_MAX_POWER_GRAD_RISING_DP
1E        0A        T_DP_PULSE_START
1F        46        U_DP_PULSE_START
20        46        U_DP_PULSE_RAS
21        46        U_DP_PULSE_RAE
22        02        NO_START_EXIT_PAUSE_MAX
23        64        MID_ALTITUDE_CORR_FACTOR
24        64        HIGH_ALTITUDE_CORR_FACTOR
25        28        T_DP_MAIN_PULSE
26        5A        CCTC_TEMP_TARGET_MIN
27        7D        CCTC_TEMP_TARGET_MAX
28        0A        CCTC_TEMP_TARGET_GRAD_RISING
29        0A        CCTC_TEMP_TARGET_GRAD_FALLING
2A        F0        T_FMCL
2B        AA        N_FMCL
2C        1C        PERCENT_R_FMCL
2D        00        not supported
2E        00        not supported
2F        26        T_PGL_2_1
30        28        N_PGL_2_1
31        00        not supported
32        CC        PERCENT_R_PGL_2_1
33        00        not supported
34        00        not supported
35        26        T_PGL_2_2
36        28        N_PGL_2_2
37        00        not supported
38        CC        PERCENT_R_PGL_2_2
39        00        not supported
3A        00        not supported
3B        26        T_PGL_2_3
3C        28        N_PGL_2_3
3D        00        not supported
3E        CC        PERCENT_R_PGL_2_3
3F        00        not supported
40        00        not supported
41        26        T_PGL_2_4
42        28        N_PGL_2_4
43        00        not supported
44        CC        PERCENT_R_PGL_2_4
45        00        not supported
46        00        not supported
47        1E        T_PGL_2_PLS
48        28        N_PGL_2_PLS
49        00        not supported
4A        CC        PERCENT_R_PGL_2_PLS
4B        00        not supported
4C        00        not supported
4D        5A        T_FMC_S
4E        28        N_FMC_S
4F        47        P_FMC_S
50        02        T_START_11
51        28        N_START_11
52        00        F_START_11
53        CC        PERCENT_R_START_11
54        00        TEMP_START_11
55        02        T_START_12
56        28        N_START_12
57        00        F_START_12
58        CC        PERCENT_R_START_12
59        14        TEMP_START_12
5A        02        T_START_13
5B        28        N_START_13
5C        00        F_START_13
5D        CC        PERCENT_R_START_13
5E        28        TEMP_START_13
5F        02        T_START_14
60        28        N_START_14
61        00        F_START_14
62        CC        PERCENT_R_START_14
63        3F        TEMP_START_14
64        0A        T_START_1_PLS
65        4D        N_START_1_PLS
66        00        F_START_1_PLS
67        CC        PERCENT_R_START_1_PLS
68        04        T_START_21
69        28        N_START_21
6A        00        F_START_21
6B        CC        PERCENT_R_START_21
6C        00        P_LO_START_21
6D        FF        P_HI_START_21
6E        00        GRAD_P_START_21
6F        04        T_START_22
70        28        N_START_22
71        00        F_START_22
72        CC        PERCENT_R_START_22
73        00        P_LO_START_22
74        FF        P_HI_START_22
75        00        GRAD_P_START_22
76        04        T_START_23
77        28        N_START_23
78        00        F_START_23
79        CC        PERCENT_R_START_23
7A        00        P_LO_START_23
7B        FF        P_HI_START_23
7C        00        GRAD_P_START_23
7D        04        T_START_24
7E        28        N_START_24
7F        00        F_START_24
80        CC        PERCENT_R_START_24
81        00        P_LO_START_24
82        FF        P_HI_START_24
83        00        GRAD_P_START_24
84        00        T_START_2_PLS
85        4D        N_START_2_PLS
86        00        F_START_2_PLS
87        CC        PERCENT_R_START_2_PLS
88        00        not supported
89        00        not supported
8A        00        not supported
8B        42        T_START_31
8C        7E        N_START_31
8D        7F        F_START_31
8E        CC        PERCENT_R_START_31
8F        47        P_LO_START_31
90        FF        P_HI_START_31
91        7C        GRAD_P_START_31
92        42        T_START_32
93        84        N_START_32
94        7F        F_START_32
95        CC        PERCENT_R_START_32
96        47        P_LO_START_32
97        FF        P_HI_START_32
98        7C        GRAD_P_START_32
99        42        T_START_33
9A        89        N_START_33
